(206.3, 19.0, 447.4)
(212.4, 19.0, 461.1)
(214.0, 19.1, 457.8)
(211.4, 19.1, 472.1)
(213.0, 19.2, 468.8)
(209.2, 19.2, 463.6)
(207.6, 19.1, 466.9)
(255.0, 19.2, 254.8)
(256.6, 19.3, 251.5)
(260.4, 19.3, 256.7)
(258.8, 19.2, 260.0)
(261.4, 19.2, 245.7)
(259.8, 19.1, 249.0)
(253.7, 19.1, 235.4)
(255.3, 19.2, 232.1)
(259.1, 19.2, 237.3)
(257.5, 19.1, 240.6)
(252.7, 19.2, 246.4)
(254.3, 19.3, 243.1)
(258.8, 19.0, 226.2)
(260.4, 19.1, 222.9)
(256.6, 19.1, 217.7)
(255.0, 19.0, 221.0)
(258.8, 19.2, 273.8)
(269.1, 18.9, 294.4)
(267.5, 18.8, 297.7)
(267.0, 18.8, 285.3)
(270.2, 18.6, 282.8)
(271.8, 18.7, 279.5)
(274.6, 18.8, 261.9)
(273.0, 18.7, 265.2)
(275.6, 18.7, 250.8)
(274.0, 18.6, 254.1)
(283.3, 18.6, 249.1)
(284.9, 18.7, 245.8)
(282.3, 18.7, 260.1)
(283.9, 18.8, 256.8)
(281.1, 18.7, 274.4)
(279.5, 18.6, 277.7)
(276.3, 18.8, 280.2)
(276.8, 18.8, 292.7)
(278.4, 18.9, 289.4)
(202.5, 18.7, 239.3)
(199.3, 18.9, 241.8)
(197.7, 18.8, 245.1)
(193.4, 18.8, 227.4)
(197.2, 18.8, 232.7)
(195.6, 18.7, 236.0)
(200.4, 18.6, 230.1)
(202.0, 18.7, 226.8)
(198.2, 18.7, 221.6)
(196.6, 18.6, 224.9)
(199.4, 18.7, 207.3)
(201.0, 18.8, 204.0)
(204.8, 18.8, 209.2)
(203.2, 18.7, 212.5)
(208.0, 18.6, 206.7)
(205.8, 18.7, 198.2)
(204.2, 18.6, 201.5)
(203.5, 18.7, 189.8)
(201.9, 18.6, 193.1)
(198.7, 18.8, 195.6)
(248.2, 18.8, 86.4)
(251.4, 18.6, 83.9)
(253.0, 18.7, 80.6)
(253.7, 18.6, 92.3)
(255.3, 18.7, 89.0)
(257.5, 18.6, 97.5)
(252.7, 18.7, 103.3)
(254.3, 18.8, 100.0)
(250.5, 18.8, 94.8)
(248.9, 18.7, 98.1)
(246.1, 18.6, 115.7)
(247.7, 18.7, 112.4)
(251.5, 18.7, 117.6)
(249.9, 18.6, 120.9)
(245.1, 18.7, 126.8)
(246.7, 18.8, 123.5)
(242.9, 18.8, 118.2)
(247.2, 18.8, 135.9)
(248.8, 18.9, 132.6)
(252.0, 18.7, 130.1)
(269.2, 18.8, 234.9)
(270.8, 18.9, 231.6)
(274.6, 18.9, 236.8)
(273.0, 18.8, 240.1)
(277.8, 18.7, 234.3)
(279.4, 18.8, 231.0)
(275.6, 18.8, 225.8)
(274.0, 18.7, 229.1)
(267.9, 18.7, 215.5)
(269.5, 18.8, 212.2)
(273.3, 18.8, 217.4)
(271.7, 18.7, 220.7)
(266.9, 18.8, 226.5)
(268.5, 18.9, 223.2)
(264.7, 18.9, 218.0)
(263.1, 18.8, 221.3)
(257.2, 18.7, 206.9)
(258.8, 18.8, 203.6)
(262.6, 18.8, 208.9)
(261.0, 18.7, 212.2)
(265.8, 18.6, 206.3)
(267.4, 18.7, 203.0)
(263.6, 18.7, 197.8)
(262.0, 18.6, 201.1)
(194.9, 18.6, 142.8)
(196.5, 18.7, 139.5)
(200.3, 18.7, 144.7)
(198.7, 18.6, 148.0)
(186.7, 18.7, 153.9)
(188.3, 18.8, 150.6)
(191.7, 18.8, 145.3)
(190.1, 18.7, 148.6)
(188.8, 18.8, 163.0)
(190.4, 18.9, 159.7)
(194.2, 18.9, 164.9)
(192.6, 18.8, 168.2)
(197.4, 18.7, 162.4)
(199.0, 18.8, 159.1)
(195.2, 18.8, 153.9)
(193.6, 18.7, 157.2)
(199.7, 18.7, 170.8)
(201.3, 18.8, 167.5)
(205.1, 18.8, 172.7)
(203.5, 18.7, 176.0)
(198.7, 18.8, 181.8)
(200.3, 18.9, 178.5)
(196.5, 18.9, 173.3)
(194.9, 18.8, 176.6)
(196.9, 18.8, 130.9)
(198.5, 18.9, 127.6)
(202.3, 18.9, 132.8)
(200.7, 18.8, 136.1)
(205.5, 18.7, 130.3)
(207.1, 18.8, 127.0)
(203.3, 18.8, 121.8)
(201.7, 18.7, 125.1)
(195.6, 18.7, 111.5)
(197.2, 18.8, 108.2)
(201.0, 18.8, 113.4)
(199.4, 18.7, 116.7)
(194.6, 18.8, 122.5)
(196.2, 18.9, 119.2)
(192.4, 18.9, 114.0)
(190.8, 18.8, 117.3)
(184.9, 18.7, 102.9)
(186.5, 18.8, 99.6)
(190.3, 18.8, 104.9)
(188.7, 18.7, 108.2)
(193.5, 18.6, 102.3)
(195.1, 18.7, 99.0)
(191.3, 18.7, 93.8)
(189.7, 18.6, 97.1)
(192.6, 18.6, 53.3)
(194.2, 18.7, 50.0)
(198.0, 18.7, 55.2)
(196.4, 18.6, 58.5)
(191.6, 18.7, 64.3)
(193.2, 18.8, 61.0)
(189.4, 18.8, 55.8)
(187.8, 18.7, 59.1)
(193.6, 18.8, 73.5)
(195.2, 18.9, 70.2)
(199.1, 18.9, 75.4)
(197.5, 18.8, 78.7)
(202.3, 18.7, 72.9)
(203.9, 18.8, 69.6)
(200.1, 18.8, 64.4)
(198.5, 18.7, 67.7)
(204.6, 18.7, 81.3)
(206.2, 18.8, 78.0)
(210.0, 18.8, 83.2)
(208.4, 18.7, 86.5)
(203.6, 18.8, 92.3)
(205.2, 18.9, 89.0)
(201.4, 18.9, 83.8)
(199.8, 18.8, 87.1)
(264.8, 18.7, 183.5)
(266.4, 18.8, 180.2)
(270.2, 18.8, 185.4)
(268.6, 18.7, 188.7)
(273.4, 18.6, 182.9)
(275.0, 18.7, 179.6)
(271.2, 18.7, 174.4)
(269.6, 18.6, 177.7)
(263.5, 18.6, 164.1)
(265.1, 18.7, 160.8)
(268.9, 18.7, 166.0)
(267.3, 18.6, 169.3)
(262.5, 18.7, 175.1)
(264.1, 18.8, 171.8)
(260.3, 18.8, 166.6)
(258.7, 18.7, 169.9)
(252.8, 18.6, 155.5)
(254.4, 18.7, 152.2)
(258.2, 18.7, 157.5)
(256.6, 18.6, 160.8)
(261.4, 18.5, 154.9)
(263.0, 18.6, 151.6)
(259.2, 18.6, 146.4)
(257.6, 18.5, 149.7)
